date,i_m1sum,i_temp3
2022-01-02 02:00:00,-0.6549058279375669,340.0
2022-01-02 02:15:00,-0.6549058279375669,340.0
2022-01-02 02:30:00,-0.6549058279375669,339.0
2022-01-02 02:45:00,-0.6549058279375669,338.0
2022-01-02 03:00:00,-0.6549058279375669,338.0
2022-01-02 03:15:00,-0.6549058279375669,338.0
2022-01-02 03:30:00,-0.6549058279375669,337.0
2022-01-02 03:45:00,-0.6549058279375669,337.0
2022-01-02 04:00:00,-0.6549058279375669,336.0
2022-01-02 04:15:00,-0.6549058279375669,336.0
2022-01-02 04:30:00,-0.6549058279375669,336.0
2022-01-02 04:45:00,-0.6549058279375669,336.0
2022-01-02 05:00:00,-0.6549058279375669,335.0
2022-01-02 05:15:00,-0.6549058279375669,335.0
2022-01-02 05:30:00,-0.6549058279375669,335.0
2022-01-02 05:45:00,-0.6549058279375669,335.0
2022-01-02 06:00:00,-0.6549058279375669,335.0
2022-01-02 06:15:00,-0.6549058279375669,334.0
2022-01-02 06:30:00,-0.6549058279375669,334.0
2022-01-02 06:45:00,-0.6549058279375669,333.0
2022-01-02 07:00:00,-0.6549058279375669,333.0
2022-01-02 07:15:00,-0.648301346542163,330.0
2022-01-02 07:30:00,-0.5806054122392733,319.0
2022-01-02 07:45:00,-0.5244673203783404,318.0
2022-01-02 08:00:00,-0.46667810816855665,317.0
2022-01-02 08:15:00,-0.39567993316796507,317.0
2022-01-02 08:30:00,-0.3296351192139264,316.0
2022-01-02 08:45:00,-0.20249885235240192,318.0
2022-01-02 09:00:00,0.15909650404595982,317.0
2022-01-02 09:15:00,0.01379791334707474,316.0
2022-01-02 09:30:00,-0.11333835351444971,308.0
2022-01-02 09:45:00,-0.15791860293342583,291.0
2022-01-02 10:00:00,-0.048944659909262,264.0
2022-01-02 10:15:00,-0.043991298862709104,261.0
2022-01-02 10:30:00,0.6891061360271202,279.0
2022-01-02 10:45:00,0.8591715319587698,349.0
2022-01-02 11:00:00,1.1794888796358574,461.0
2022-01-02 11:15:00,0.5289474621885765,420.0
2022-01-02 11:30:00,0.7122218209110338,425.0
2022-01-02 11:45:00,0.4761116110253455,412.0
2022-01-02 12:00:00,0.999516761611102,537.0
2022-01-02 12:15:00,1.0655615755651406,578.0
2022-01-02 12:30:00,0.28953501160518624,556.0
2022-01-02 12:45:00,0.35227758486152294,586.0
2022-01-02 13:00:00,0.04682032032409408,568.0
2022-01-02 13:15:00,0.010495672649372807,571.0
2022-01-02 13:30:00,-0.28505486979495026,548.0
2022-01-02 13:45:00,-0.31147279537656575,540.0
2022-01-02 14:00:00,-0.37091312793520054,539.0
2022-01-02 14:15:00,-0.4534691453777489,529.0
2022-01-02 14:30:00,-0.5079561168898308,519.0
2022-01-02 14:45:00,-0.5773031715415714,497.0
2022-01-02 15:00:00,-0.595465495378932,487.0
2022-01-02 15:15:00,-0.6235345413093984,479.0
2022-01-02 15:30:00,-0.6433479854956101,471.0
2022-01-02 15:45:00,-0.6499524668910139,458.0
2022-01-02 16:00:00,-0.6549058279375669,454.0
2022-01-02 16:15:00,-0.6549058279375669,451.0
2022-01-02 16:30:00,-0.6549058279375669,448.0
2022-01-02 16:45:00,-0.6549058279375669,445.0
2022-01-02 17:00:00,-0.6549058279375669,443.0
2022-01-02 17:15:00,-0.6549058279375669,440.0
2022-01-02 17:30:00,-0.6549058279375669,436.0
2022-01-02 17:45:00,-0.6549058279375669,434.0
2022-01-02 18:00:00,-0.6549058279375669,434.0
2022-01-02 18:15:00,-0.6549058279375669,431.0
2022-01-02 18:30:00,-0.6549058279375669,425.0
2022-01-02 18:45:00,-0.6549058279375669,421.0
2022-01-02 19:00:00,-0.6549058279375669,420.0
2022-01-02 19:15:00,-0.6549058279375669,418.0
2022-01-02 19:30:00,-0.6549058279375669,417.0
2022-01-02 19:45:00,-0.6549058279375669,415.0
2022-01-02 20:00:00,-0.6549058279375669,414.0
2022-01-02 20:15:00,-0.6549058279375669,413.0
2022-01-02 20:30:00,-0.6549058279375669,411.0
2022-01-02 20:45:00,-0.6549058279375669,410.0
2022-01-02 21:00:00,-0.6549058279375669,410.0
2022-01-02 21:15:00,-0.6549058279375669,408.0
2022-01-02 21:30:00,-0.6549058279375669,407.0
2022-01-02 21:45:00,-0.6549058279375669,406.0
2022-01-02 22:00:00,-0.6549058279375669,406.0
2022-01-02 22:15:00,-0.6549058279375669,405.0
2022-01-02 22:30:00,-0.6549058279375669,402.0
2022-01-02 22:45:00,-0.6549058279375669,401.0
2022-01-02 23:00:00,-0.6549058279375669,400.0
2022-01-02 23:15:00,-0.6549058279375669,399.0
2022-01-02 23:30:00,-0.6549058279375669,398.0
2022-01-02 23:45:00,-0.6549058279375669,398.0
2022-01-03 00:00:00,-0.6549058279375669,397.0
2022-01-03 00:15:00,-0.6549058279375669,396.0
2022-01-03 00:30:00,-0.6549058279375669,396.0
2022-01-03 00:45:00,-0.6549058279375669,395.0
2022-01-03 01:00:00,-0.6549058279375669,395.0
2022-01-03 01:15:00,-0.6549058279375669,393.0
2022-01-03 01:30:00,-0.6549058279375669,393.0
2022-01-03 01:45:00,-0.6549058279375669,393.0
