date,i_m1sum,i_power,i_temp3
2022-01-01 00:15:00,-0.6549058279375669,-0.3408582622443564,-0.7084722016851237
2022-01-01 00:30:00,-0.6549058279375669,-0.3702940584937562,-0.741143811970923
2022-01-01 00:45:00,-0.6549058279375669,-0.3702940584937562,-0.7999527104853618
2022-01-01 01:00:00,-0.6549058279375669,-0.3702940584937562,-0.7999527104853618
2022-01-01 01:15:00,-0.6549058279375669,-0.3702940584937562,-0.7934183884282019
2022-01-01 01:30:00,-0.6549058279375669,-0.3702940584937562,-0.7934183884282019
2022-01-01 01:45:00,-0.6549058279375669,-0.3702940584937562,-0.7934183884282019
2022-01-01 02:00:00,-0.6549058279375669,-0.3702940584937562,-0.786884066371042
2022-01-01 02:15:00,-0.6549058279375669,-0.3702940584937562,-0.786884066371042
2022-01-01 02:30:00,-0.6549058279375669,-0.3702940584937562,-0.786884066371042
2022-01-01 02:45:00,-0.6549058279375669,-0.3702940584937562,-0.7803497443138822
2022-01-01 03:00:00,-0.6549058279375669,-0.3702940584937562,-0.7738154222567223
2022-01-01 03:15:00,-0.6549058279375669,-0.3702940584937562,-0.7738154222567223
2022-01-01 03:30:00,-0.6549058279375669,-0.3702940584937562,-0.7738154222567223
2022-01-01 03:45:00,-0.6549058279375669,-0.3702940584937562,-0.7999527104853618
2022-01-01 04:00:00,-0.6549058279375669,-0.3702940584937562,-0.8522272869426405
2022-01-01 04:15:00,-0.6549058279375669,-0.3702940584937562,-0.8718302531141201
2022-01-01 04:30:00,-0.6549058279375669,-0.3702940584937562,-0.8718302531141201
2022-01-01 04:45:00,-0.6549058279375669,-0.3702940584937562,-0.8718302531141201
2022-01-01 05:00:00,-0.6549058279375669,-0.3702940584937562,-0.8652959310569602
2022-01-01 05:15:00,-0.6549058279375669,-0.3702940584937562,-0.8587616089998004
2022-01-01 05:30:00,-0.6549058279375669,-0.3702940584937562,-0.8587616089998004
2022-01-01 05:45:00,-0.6549058279375669,-0.3702940584937562,-0.8522272869426405
2022-01-01 06:00:00,-0.6549058279375669,-0.3702940584937562,-0.8522272869426405
2022-01-01 06:15:00,-0.6549058279375669,-0.3702940584937562,-0.8522272869426405
2022-01-01 06:30:00,-0.6549058279375669,-0.3702940584937562,-0.8456929648854807
2022-01-01 06:45:00,-0.648301346542163,-0.3702940584937562,-0.8456929648854807
2022-01-01 07:00:00,-0.6400457447979082,-0.3702940584937562,-0.8391586428283209
2022-01-01 07:15:00,-0.6301390227048024,-0.3702940584937562,-0.8391586428283209
2022-01-01 07:30:00,-0.6152789395651437,-0.3702940584937562,-0.8391586428283209
2022-01-01 07:45:00,-0.6152789395651437,-0.3702940584937562,-0.9045018633999193
2022-01-01 08:00:00,-0.5839076529369753,-0.3702940584937562,-0.9110361854570792
2022-01-01 08:15:00,-0.5178628389829366,-0.3702940584937562,-0.9110361854570792
2022-01-01 08:30:00,-0.4435624232846431,-0.3702940584937562,-0.9045018633999193
2022-01-01 08:45:00,-0.3841220907260083,-0.3702940584937562,-0.9175705075142391
2022-01-01 09:00:00,-0.44026018258694116,-0.3702940584937562,-0.9110361854570792
2022-01-01 09:15:00,-0.4419113029357921,-0.3702940584937562,-0.9110361854570792
2022-01-01 09:30:00,-0.40558665526107085,-0.3187814150573065,-0.8979675413427596
2022-01-01 09:45:00,-0.3098216750277148,-0.34821721130670635,-0.924104829571399
2022-01-01 10:00:00,-0.18103428781733935,-0.3702940584937562,-0.924104829571399
2022-01-01 10:15:00,0.38860223253624426,1.0279062633527345,-0.7476781340280829
2022-01-01 10:30:00,0.9334719476570633,1.4473663599066817,-0.40135906499861057
2022-01-01 10:45:00,1.1877444813801123,0.28465240805538944,-0.3229472003126923
2022-01-01 11:00:00,1.1200485470772226,1.7417243224006798,0.22593585248873546
2022-01-01 11:15:00,1.3346941924278484,3.132565695184821,0.7421472950043639
2022-01-01 11:30:00,0.18056106858102242,0.04916603806019103,0.6375981420898063
2022-01-01 11:45:00,-0.15791860293342583,-0.3702940584937562,0.2586074627745347
2022-01-01 12:00:00,-0.14470964014261808,-0.3702940584937562,-0.8195556766568413
2022-01-01 12:15:00,-0.18763876921274322,-0.3702940584937562,-0.9175705075142391
2022-01-01 12:30:00,-0.1397562790960652,-0.2967045678702567,-1.054791270714596
2022-01-01 12:45:00,-0.18268540816619033,-0.3629351094314062,-1.0809285589432354
2022-01-01 13:00:00,0.6461770069569951,0.5127798289882379,-0.8587616089998004
2022-01-01 13:15:00,0.8178935232374956,0.6893946064846367,-0.6039230487705661
2022-01-01 13:30:00,1.0160279650996116,3.6182563332999176,0.28474475100317415
2022-01-01 13:45:00,0.6659904511432067,1.248674735223233,0.4415684803750107
2022-01-01 14:00:00,0.47446049067649454,2.4408244833239254,0.8924367023190406
2022-01-01 14:15:00,0.2300946790465514,1.7343653733383297,0.964314244947799
2022-01-01 14:30:00,-0.16122084363112776,-0.04650029975035834,0.7356129729472041
2022-01-01 14:45:00,-0.397331053516816,-0.3629351094314062,0.5657205994610479
2022-01-01 15:00:00,-0.5806054122392733,-0.3702940584937562,0.4481028024321705
2022-01-01 15:15:00,-0.6218834209605475,-0.3702940584937562,0.38275958186057196
2022-01-01 15:30:00,-0.6433479854956101,-0.3702940584937562,0.337019327460453
2022-01-01 15:45:00,-0.648301346542163,-0.3702940584937562,0.29781339511749383
2022-01-01 16:00:00,-0.6549058279375669,-0.3555761603690563,0.2651417848316946
2022-01-01 16:15:00,-0.6549058279375669,-0.3702940584937562,0.23900449660305517
